MUNICIPIO_CLEAN,UF,MUNICIPIO,QUANTIDADE_EMPREGOS,QUANTIDADE_ ESTABELECIMENTOS,QUANTIDADE_VISITAS_ESTIMADAS_ NACIONAL,QUANTIDADE_VISITAS_ESTIMADAS_ INTERNACIONAL,ARRECADACAO,NUM_UCS,BIOMAS_UCS,TOTAL_VISITANTES,Municipio_Clean,NUM_FOCOS,INTENSIDADE_MEDIA,INTENSIDADE_TOTAL,ANO_MIN,ANO_MAX,ESTADO_QUEIMADA,BIOMAS_QUEIMADA,CATEGORIA_UCS,LATITUDE_MUNICIPIO,LONGITUDE_MUNICIPIO,FOCOS_RAIO_100KM,DISTANCIA_MEDIA_FOCOS_KM,DISTANCIA_MIN_FOCO_KM,MUNICIPIOS_PROXIMOS_COM_FOCOS,BIOMAS_PROXIMOS,Município_Clean_x,NUM_UCS_PROTECAO_INTEGRAL,NUM_UCS_USO_SUSTENTAVEL,Município_Clean_y,CATEGORIA_UC_DETALHADA,PERC_UCS_PROTECAO_INTEGRAL,PERC_UCS_USO_SUSTENTAVEL,TEM_UC_PROTECAO_INTEGRAL,TEM_UC_USO_SUSTENTAVEL,CATEGORIA_PROXIMIDADE
florianopolis,SC,Florianópolis,3715,275,3338541,852570,45645095,17,"Área Marinha, Mata Atlântica",4191111,florianopolis,3.0,33.47,100.4,2016.0,2018.0,SANTA CATARINA,Mata Atlântica,6+ UCs,,,,,,,,florianopolis,4,13,florianopolis,"Área de Proteção Ambiental, Estação Ecológica, Reserva Biológica, Reserva Extrativista, Reserva Particular do Patrimônio Natural, Parque, Monumento Natural",23.5,76.5,1,1,Muito_Distante
formosa,GO,Formosa,90,18,93391,911,777452,1,Cerrado,94302,formosa,946.0,61.29,57983.8,2015.0,2019.0,GOIÁS,Cerrado,1 UC,-15.347000000000001,-47.317545454545446,120.0,70.47005492897414,44.61182685224529,4.0,Cerrado,formosa,0,1,formosa,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Moderado
fortaleza,CE,Fortaleza,3264,163,4178305,142864,82969904,8,"Área Marinha, Caatinga",4321169,fortaleza,16.0,22.61,361.8,2015.0,2019.0,CEARÁ,Caatinga,6+ UCs,,,,,,,,fortaleza,0,8,fortaleza,"Parque, Área de Proteção Ambiental, Área de Relevante Interesse Ecológico",0.0,100.0,0,1,Muito_Distante
foz do iguacu,PR,Foz do Iguaçu,5044,151,1107641,595662,96013669,1,Mata Atlântica,1703303,foz do iguacu,5.0,9.94,49.7,2015.0,2017.0,PARANÁ,Mata Atlântica,1 UC,,,,,,,,foz do iguacu,0,1,foz do iguacu,Parque,0.0,100.0,0,1,Muito_Distante
foz do jordao,PR,Foz do Jordão,3,1,0,1703,0,1,Mata Atlântica,1703,foz do jordao,7.0,12.9,90.3,2016.0,2018.0,PARANÁ,Mata Atlântica,1 UC,,,,,,,,foz do jordao,0,1,foz do jordao,Parque,0.0,100.0,0,1,Muito_Distante
fundao,ES,Fundão,53,9,1220,0,0,4,"Área Marinha, Mata Atlântica",1220,fundao,8.0,38.66,309.3,2016.0,2019.0,ESPÍRITO SANTO,Mata Atlântica,3-5 UCs,,,,,,,,fundao,1,3,fundao,"Refúgio de Vida Silvestre, Área de Proteção Ambiental, Parque",25.0,75.0,1,1,Muito_Distante
garopaba,SC,Garopaba,209,38,150856,64926,1147639,2,"Área Marinha, Mata Atlântica",215782,,0.0,0.0,0.0,,,,,2 UCs,,,,,,,,garopaba,0,2,garopaba,Área de Proteção Ambiental,0.0,100.0,0,1,Muito_Distante
gaspar,SC,Gaspar,430,6,52791,367,0,1,Mata Atlântica,53158,gaspar,4.0,17.4,69.6,2016.0,2019.0,SANTA CATARINA,Mata Atlântica,1 UC,,,,,,,,gaspar,0,1,gaspar,Parque,0.0,100.0,0,1,Muito_Distante
gilbues,PI,Gilbués,14,2,51761,0,0,3,Cerrado,51761,gilbues,916.0,60.07,55027.4,2015.0,2019.0,PIAUÍ,Cerrado,3-5 UCs,-9.603333333333333,-45.60125,320.0,69.35730853229202,17.017063960473646,7.0,Cerrado,gilbues,0,3,gilbues,"Parque, Área de Proteção Ambiental",0.0,100.0,0,1,Próximo
goiana,PE,Goiana,35,9,130850,379,437235,6,Mata Atlântica,131229,goiana,53.0,25.38,1345.4,2015.0,2019.0,PERNAMBUCO,Mata Atlântica,6+ UCs,,,,,,,,goiana,0,3,goiana,"Reserva Extrativista, Reserva Particular do Patrimônio Natural, Área de Proteção Ambiental",0.0,100.0,0,1,Muito_Distante
